buildingType,primaryPropertyType,councilDistrictCode,neighborhood,nb_buildings,nb_floors,propertyGFA_total,propertyGFA_parking,propertyGFABuilding,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,energystar_score,siteEnergyUse_kBtu,GHG_emissions_TCO2e,complianceStatus,buildingAge,consumeGas,consumeSteam
nonresidential,medical office,3,downtown,1.0,4.0,43813,23086,20727,medical office,45145.0,,,,,76.0,1798899.0,12.54,compliant,20,False,False
nonresidential,"restaurant
",7,downtown,1.0,2.0,40320,0,40320,restaurant,24514.0,office,15806.0,,,,3816695.0,119.01,compliant,113,True,False
nonresidential,other,7,downtown,1.0,7.0,44928,0,44928,other,38706.0,retail store,2660.0,"personal services (health/beauty, dry cleaning, etc)",2600.0,,413919.0,4.43,compliant,111,True,False
nonresidential,retail store,5,northwest,1.0,1.0,23696,0,23696,retail store,23829.0,parking,0.0,,,81.0,1392153.0,35.11,compliant,14,True,False
nonresidential,worship facility,2,southeast,1.0,2.0,22029,0,22029,,,,,,,100.0,91996.0,0.64,compliant,88,False,False
nonresidential,small- and mid-sized office,6,ballard,1.0,3.0,24913,0,24913,office,24913.0,,,,,100.0,238255.0,3.59,compliant,112,True,False
nonresidential,small- and mid-sized office,6,ballard,1.0,2.0,37448,0,37448,office,37448.0,,,,,88.0,2547582.0,45.9,compliant,36,True,False
nonresidential,non-refrigerated warehouse,2,southeast,1.0,1.0,27435,0,27435,non-refrigerated warehouse,19120.0,medical office,8315.0,,,49.0,1231546.0,36.72,compliant,63,True,False
nonresidential,k-12 school,3,east,1.0,1.0,83882,0,83882,k-12 school,83882.0,,,,,72.0,2539565.0,64.95,compliant,110,True,False
nonresidential,small- and mid-sized office,3,east,1.0,2.0,21228,0,21228,office,21228.0,,,,,64.0,799996.0,5.58,compliant,95,False,False
nonresidential,other,7,magnolia / queen anne,1.0,2.0,23098,0,23098,performing arts,23098.0,,,,,,3058638.0,95.2,compliant,7,True,False
nonresidential,mixed use property,7,magnolia / queen anne,1.0,2.0,23000,0,23000,,,,,,,,595839.0,16.59,compliant,87,True,False
nonresidential,other,2,greater duwamish,1.0,2.0,33332,0,33332,outpatient rehabilitation/physical therapy,33332.0,parking,0.0,,,,662012.0,22.78,compliant,49,True,False
nonresidential,other,7,magnolia / queen anne,1.0,1.0,23050,0,23050,automobile dealership,23050.0,,,,,,4291789.0,137.23,compliant,93,True,False
nonresidential,retail store,2,downtown,1.0,2.0,21600,0,21600,,,,,,,,184077.0,1.28,compliant,115,False,False
nonresidential,small- and mid-sized office,7,downtown,1.0,6.0,98370,25920,72450,office,98370.0,,,,,45.0,6525887.0,47.24,compliant,109,True,False
nonresidential,large office,7,lake union,1.0,4.0,193788,37854,155934,office,138672.0,parking,47539.0,other,11166.0,59.0,16760217.0,116.84,compliant,68,False,False
nonresidential,large office,7,lake union,1.0,4.0,186971,0,186971,office,186977.0,parking,115477.0,,,86.0,12662456.0,226.92,compliant,34,True,False
nonresidential,non-refrigerated warehouse,7,lake union,1.0,1.0,66968,0,66968,,,,,,,1.0,1575581.0,11.09,compliant,60,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,3.0,76598,21410,55188,office,55188.0,parking,21410.0,,,76.0,4476997.0,134.69,compliant,7,True,False
nonresidential,retail store,7,downtown,1.0,4.0,111077,0,111077,,,,,,,91.0,9898724.0,69.01,compliant,26,False,False
nonresidential,other,5,northwest,1.0,1.0,21633,0,21633,other,10400.0,,,,,,6293359.0,232.12,compliant,47,True,False
nonresidential,small- and mid-sized office,7,downtown,1.0,2.0,28568,0,28568,office,28568.0,,,,,86.0,841242.0,12.91,compliant,78,True,False
nonresidential,small- and mid-sized office,7,downtown,1.0,3.0,21600,0,21600,office,21600.0,,,,,,133880.0,0.93,compliant,86,False,False
nonresidential,other,2,greater duwamish,1.0,1.0,54171,0,54171,,,,,,,,1008645.0,39.08,compliant,46,True,False
nonresidential,medical office,3,east,1.0,3.0,83448,15479,67969,medical office,42527.0,office,27961.0,other,529.0,54.0,6668456.0,231.39,compliant,87,True,False
nonresidential,large office,7,downtown,1.0,5.0,192960,32160,160800,office,135173.0,parking,32000.0,,,95.0,6669954.0,260.94,compliant,104,False,True
nonresidential,worship facility,1,southwest,1.0,1.0,35844,0,35844,worship facility,35844.0,,,,,14.0,866126.375,6.04,compliant,39,False,False
nonresidential,worship facility,1,southwest,1.0,3.0,30740,0,30740,worship facility,28293.0,other - recreation,11630.0,,,,1686262.25,61.3,compliant,64,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,21600,0,21600,non-refrigerated warehouse,21600.0,,,,,57.0,499828.5938,14.36,compliant,89,True,False
nonresidential,small- and mid-sized office,7,magnolia / queen anne,1.0,2.0,20671,0,20671,office,20671.0,,,,,98.0,638507.125,24.76,compliant,76,True,False
nonresidential,mixed use property,7,magnolia / queen anne,1.0,1.0,24196,0,24196,other,8711.0,non-refrigerated warehouse,6792.0,office,5306.0,,1055033.0,22.29,compliant,85,True,False
nonresidential,small- and mid-sized office,7,magnolia / queen anne,1.0,2.0,43016,5400,37616,office,43016.0,,,,,100.0,1234095.5,60.57,compliant,37,True,False
nonresidential,warehouse,7,magnolia / queen anne,1.0,1.0,47554,0,47554,non-refrigerated warehouse,18133.0,office,8679.0,retail store,2388.0,,1035554.688,16.04,compliant,85,True,False
nonresidential,warehouse,7,magnolia / queen anne,1.0,1.0,46970,0,46970,non-refrigerated warehouse,46970.0,,,,,,882896.5,6.16,compliant,68,False,False
sps-district k-12,k-12 school,6,ballard,1.0,1.0,39971,0,39971,k-12 school,40867.0,,,,,,0.0,50.22,missing data,58,True,False
nonresidential,supermarket / grocery store,2,southeast,1.0,1.0,67450,0,67450,supermarket/grocery store,42760.0,,,,,97.0,2842819.5,55.86,compliant,57,True,False
nonresidential,other,1,southwest,1.0,1.0,49066,0,49066,social/meeting hall,49000.0,,,,,,3835202.0,178.86,compliant,99,True,False
nonresidential,other,7,magnolia / queen anne,1.0,3.0,34976,0,34976,performing arts,34976.0,,,,,,873711.125,15.7,compliant,104,True,False
nonresidential,worship facility,1,delridge,1.0,1.0,23706,0,23706,worship facility,23706.0,,,,,78.0,400770.9063,13.12,compliant,53,True,False
nonresidential,worship facility,1,delridge,1.0,2.0,24224,0,24224,worship facility,24224.0,parking,0.0,,,52.0,968026.3125,26.73,compliant,59,True,False
nonresidential,small- and mid-sized office,4,lake union,1.0,3.0,57132,21908,35224,office,33705.0,parking,21908.0,,,73.0,1994967.75,13.91,compliant,16,False,False
nonresidential,small- and mid-sized office,4,lake union,1.0,3.0,25912,7956,17956,office,17332.0,parking,9162.0,,,,666740.3125,4.65,compliant,47,False,False
nonresidential,small- and mid-sized office,4,lake union,1.0,4.0,57432,21906,35526,office,34160.0,parking,19650.0,,,,2520483.25,17.57,compliant,30,False,False
nonresidential,small- and mid-sized office,4,lake union,1.0,4.0,50333,18036,32297,office,50333.0,,,,,88.0,1602084.375,11.17,compliant,57,False,False
nonresidential,small- and mid-sized office,6,lake union,1.0,3.0,48924,0,48924,office,31325.0,parking,13143.0,,,71.0,2282551.25,59.24,compliant,27,True,False
campus,other,7,magnolia / queen anne,23.0,1.0,260241,0,260241,other,260241.0,,,,,,34012980.0,565.55,compliant,61,True,False
nonresidential,warehouse,7,magnolia / queen anne,1.0,1.0,38255,0,38255,non-refrigerated warehouse,38255.0,,,,,12.0,985401.8125,33.8,compliant,59,True,False
nonresidential,small- and mid-sized office,4,lake union,1.0,3.0,31774,0,31774,office,19896.0,retail store,13941.0,parking,0.0,85.0,1639136.25,18.87,compliant,100,True,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,31900,0,31900,non-refrigerated warehouse,28000.0,office,4000.0,,,,1964681.25,13.7,compliant,53,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,26094,0,26094,non-refrigerated warehouse,26094.0,,,,,19.0,709990.8125,4.95,compliant,63,False,False
nonresidential,senior care community,5,north,1.0,5.0,43661,0,43661,senior care community,43661.0,parking,0.0,,,4.0,3936421.5,82.57,compliant,18,True,False
nonresidential,small- and mid-sized office,2,greater duwamish,1.0,2.0,24221,0,24221,office,24221.0,,,,,20.0,1435562.75,10.01,compliant,33,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,20796,0,20796,non-refrigerated warehouse,20796.0,,,,,,1324092.125,51.1,compliant,67,True,False
nonresidential,mixed use property,7,downtown,1.0,3.0,43878,0,43878,multifamily housing,12000.0,office,8262.0,retail store,6312.0,,769771.3125,5.37,compliant,103,False,False
nonresidential,warehouse,2,greater duwamish,1.0,1.0,36544,0,36544,non-refrigerated warehouse,36544.0,,,,,5.0,1269847.75,8.85,compliant,50,False,False
